gsisname,height,weight,college,birthdate,yearspro,team
,78,305,Eastern Kentucky,4/11/1990,1,
,75,240,Oklahoma,8/6/1989,1,KC
,73,190,Oregon,12/22/1990,1,
,74,238,Houston,10/3/1989,0,
A.Williams,71,205,Illinois,2/15/1990,0,
J.Mathis,74,300,Texas A&M;,2/4/1989,0,
J.Criner,75,220,Arizona,12/12/1989,2,
C.Okeafor,77,256,Purdue,3/27/1976,11,
S.Breaston,72,189,Michigan,8/20/1983,7,
G.Peterson,77,315,North Carolina Central,1/21/1984,3,
C.Session,69,248,Pittsburgh,9/22/1984,6,
J.Cohen,74,310,Florida,6/6/1984,4,
A.Barnes,73,251,Florida International,10/19/1984,8,
M.Milner,76,260,Georgia,8/8/1984,3,
B.McDonald,70,185,Memphis,8/26/1985,6,
D.Fry,75,326,Clemson,10/3/1983,3,
J.Richardson,78,280,Ohio State,1/27/1984,5,
L.McClain,72,260,Alabama,12/27/1984,7,
C.Jones,72,205,Texas Christian,10/27/1987,5,CAR
J.Kelce,75,295,Cincinnati,11/5/1987,5,PHI
J.Reed,71,225,North Carolina,4/9/1979,10,
R.Johnson,70,185,USC,8/3/1988,2,
J.Todman,69,203,Connecticut,2/24/1990,4,PIT
D.Carter,77,300,UCLA,12/10/1987,3,
G.Jones,72,248,Michigan State,10/5/1988,3,
D.Smith,72,240,Appalachian State,2/24/1989,3,
A.Bradford,71,235,USC,8/31/1988,5,
C.Rucker,73,209,Michigan State,10/12/1988,2,
M.Mohamed,75,238,California,3/11/1988,4,
M.Jones,79,320,Nebraska,9/4/1988,2,
C.White,73,210,Samford,5/9/1990,4,ARI
J.Putzier,76,256,Boise State,1/20/1979,8,
E.Folk,71,185,Washington,1/26/1989,1,
E.Coughman,76,313,Shaw,7/21/1988,1,
F.Cox,76,300,Mississippi State,12/13/1990,4,PHI
T.Finau,77,288,Utah,1/13/1986,1,
A.Jenkins,73,195,Illinois,9/8/1989,4,
A.Hicks,77,324,Regina (Canada),11/16/1989,4,NE
M.Hardison,76,285,Delaware,5/23/1988,1,
C.Heyward,77,295,Ohio State,5/6/1989,5,PIT
M.Wilkerson,76,315,Temple,10/22/1989,5,NYJ
J.Smith,74,206,Colorado,7/26/1988,5,BAL
J.Baldwin,76,230,Pittsburgh,8/10/1989,4,
G.Carimi,79,316,Wisconsin,6/13/1988,4,
M.Ingram,69,215,Alabama,12/21/1989,5,NO
D.Watkins,75,310,Baylor,11/6/1984,3,
A.Castonzo,79,311,Boston College,8/9/1988,5,IND
J.Carpenter,77,321,Alabama,3/22/1989,5,NYJ
C.Jordan,76,287,California,7/10/1989,5,NO
K.Shaffer,77,318,Tulsa,3/2/1980,9,
,69,180,West Virginia,2/25/1992,0,CIN
R.Finch,67,180,Oklahoma,10/1/1991,0,
S.Gary,72,205,Oklahoma State,5/31/1990,1,MIA
,74,258,Iowa State,8/28/1991,0,CLE
,75,240,Michigan,6/5/1991,2,
T.Hawkins,70,195,Delaware,2/18/1991,0,
S.Houston,72,230,Indiana,10/28/1991,0,
B.Trawick,74,225,Troy,10/23/1989,3,BAL
J.Norwood,71,180,Penn State,9/28/1986,6,DEN
N.Ness,73,190,Arizona,9/5/1986,4,
R.Boschetti,76,310,UCLA,10/7/1981,6,
J.Standeford,76,200,Purdue,4/15/1982,4,
D.Driver,72,194,Alcorn State,2/2/1975,14,
T.Wragge,76,310,New Mexico State,8/14/1979,9,
T.Skinner,75,214,Maryland,2/24/1987,1,
C.Whitlock,74,302,Texas Tech,8/28/1988,1,
P.Stoudamire,70,206,Western Illinois,2/21/1988,1,
T.Austin,76,310,Clemson,11/14/1986,3,
,74,220,William & Mary,8/5/1987,1,
D.Johnson,72,210,Northern Colorado,6/1/1975,8,
R.Jackson,76,259,Kansas State,11/3/1985,6,
J.LaRocque,74,228,Oregon State,3/15/1986,2,
A.Patrick,73,196,Oklahoma,2/15/1984,2,
G.Schwartz,78,340,Oregon,7/11/1986,7,NYG
M.Urrutia,78,232,Louisville,1/18/1986,2,
L.Dotson,76,290,Arizona,2/11/1985,4,
M.Monk,76,212,Arkansas,4/26/1986,2,
C.Horton,73,221,UCLA,12/29/1984,5,
P.Kruger,76,270,Utah,2/15/1986,7,CLE
F.Moala,76,308,USC,6/23/1985,6,
W.Moore,72,221,Missouri,5/18/1985,6,ATL
P.Loadholt,80,345,Oklahoma,1/21/1986,7,MIN
S.Smith,75,218,Utah,7/14/1987,7,KC
W.Beatty,78,319,Connecticut,3/2/1985,7,NYG
S.Martin,73,200,Troy,10/12/1984,6,CHI
S.Vollmer,80,325,Houston,7/10/1984,7,NE
C.Brown,75,252,Connecticut,11/9/1986,2,
S.Marks,74,316,Auburn,2/23/1987,7,JAC
T.Johnson,74,304,Middle Tennessee State,6/24/1981,5,
,77,304,Wayne State (Mich.),7/27/1989,1,
R.Ross,72,181,Arizona State,2/2/1990,1,WAS
N.Nicholas,75,269,Oklahoma State,5/3/1990,0,
,78,345,Louisiana Tech,3/1/1990,1,
,74,185,Florida A&M,5/18/1990,1,
J.Doyle,78,267,Western Kentucky,5/5/1990,3,IND
M.Bonani,70,183,South Florida,1/29/1989,1,
J.Willard,74,231,Clemson,1/10/1990,1,
D.Watkins,74,194,Murray State,4/4/1990,0,
M.Bumpus,71,194,Washington State,12/13/1985,2,
I.Pead,70,204,Cincinnati,12/14/1989,4,
K.Warner,74,214,Northern Iowa,6/22/1971,12,
C.Davis,73,206,Texas Tech,6/6/1989,3,STL
J.Crawford,77,288,Penn State,9/7/1988,4,DAL
,72,214,Troy,10/4/1990,0,
,78,320,Miami (Fla.),1/25/1992,2,JAC
R.Steeples,73,198,Memphis,11/27/1989,1,
D.Dorsey,71,210,Lindenwood,8/1/1984,5,
J.Busing,74,218,Miami (Ohio),9/1/1983,5,
D.Bucannon,73,211,Washington State,8/30/1992,2,ARI
,75,335,Mississippi State,7/12/1991,2,OAK
K.Van Noy,75,248,Brigham Young,6/19/1990,2,DET
R.Ortiz,73,188,San Diego State,5/30/1983,1,
J.Petrowski,76,262,Indiana State,7/12/1982,4,
A.Walters,73,207,Delaware,9/19/1988,4,
W.Venable,71,210,Boise State,3/31/1987,1,
A.Smith,77,270,Virginia Tech,9/26/1988,3,
D.Sanzenbacher,71,184,Ohio State,10/13/1988,4,
D.Minor,74,235,McNeese State,8/11/1988,1,
M.Bethel-Thompson,75,236,Sacramento State,7/3/1988,3,
,73,230,Texas-El Paso,9/6/1991,0,DAL
,69,180,Florida Atlantic,6/2/1992,0,DAL
K.Huggins,69,198,Hofstra,5/24/1986,2,
C.Crane,76,236,Boston College,4/18/1986,1,
M.Tauiliili,71,235,Duke,10/29/1986,1,
D.Muhtadi,75,296,Maryland,7/17/1986,2,
D.Dotson,81,315,Southern Mississippi,10/11/1985,7,TB
T.Ford,72,188,Troy,2/19/1986,2,
T.Thomas,79,316,Florida State,11/20/1974,13,
R.Angulo,80,260,Western New Mexico,8/13/1980,8,
S.Shanle,74,245,Nebraska,11/23/1979,10,
T.Newman,70,197,Kansas State,9/4/1978,13,MIN
A.Johnson,75,229,Miami (Fla.),7/11/1981,13,IND
T.Brayton,78,280,Colorado,11/20/1979,9,
M.Trufant,71,197,Washington State,12/25/1980,11,
K.Hamlin,74,208,Arkansas,1/20/1981,8,
B.Bolen,72,232,Louisville,3/24/1985,4,
R.Felix,75,295,Texas-El Paso,6/3/1986,3,
R.Allen,75,238,San Diego State,5/5/1986,5,
P.Trautwein,78,310,Florida,4/15/1986,4,
J.Hanson,69,185,Texas Tech,8/13/1981,9,
A.Strickland,72,197,Wofford,9/2/1987,3,
M.Parson,70,192,Ohio U.,5/9/1986,3,
J.Smith,77,310,Baylor,4/30/1986,5,
G.Hypolite,73,299,Colorado,8/1/1987,0,
R.Van Bergen,76,300,Michigan,3/18/1989,1,
B.Hannula,74,206,San Diego,10/13/1985,1,
W.Hill,73,228,Florida,3/7/1990,4,BAL
N.Chandler,76,315,UCLA,6/1/1989,4,CAR
D.Garrard,73,236,East Carolina,2/14/1978,10,
L.Rowells,69,215,Humboldt State,3/8/1988,1,
N.Perry,75,265,USC,4/12/1990,4,GB
M.Kendricks,72,240,California,9/28/1990,4,PHI
B.McKinnie,80,352,Miami (Fla.),9/23/1979,12,
R.Sims,76,315,North Carolina,5/4/1980,10,
Q.Jammer,72,204,Texas,6/19/1979,12,
A.Gurode,76,320,Colorado,3/6/1979,12,
A.Spence,73,307,Illinois,11/29/1991,3,TB
B.Webb,71,190,William & Mary,5/3/1990,3,TEN
M.Brown,77,214,Georgia,4/22/1991,3,BAL
K.Alonso,75,238,Oregon,8/14/1990,3,PHI
J.Baca,75,302,UCLA,1/10/1990,2,
B.Wilson,76,256,Kansas State,10/9/1989,0,
C.Thompson,68,193,Florida State,10/20/1990,2,WAS
J.Locke,72,195,UCLA,9/27/1989,3,MIN
,78,329,North Carolina,12/10/1990,1,
R.McMichael,75,248,Georgia,6/28/1979,11,
B.Brown,72,220,Kansas State,5/14/1991,4,SEA
S.Morey,71,193,Brown,2/26/1976,9,
J.Seawright,78,335,North Carolina,4/12/1982,2,
C.Gresham,75,260,Texas Christian,8/24/1986,6,SEA
M.Cox,76,233,Tennessee,4/26/1986,6,BAL
J.Galette,74,258,Stillman,3/27/1988,6,WAS
J.Fletcher,78,265,Wyoming,12/6/1985,1,
A.Hall,71,196,Marshall,8/18/1988,1,
S.Hakim,71,188,Palomar Coll. CA (J.C.),2/1/1990,3,
C.Procter,76,311,Montana,10/18/1982,6,
W.McFadden,70,180,Auburn,1/21/1987,3,
J.Conner,71,245,Kentucky,6/8/1987,6,
O.Schofield,75,242,Wisconsin,4/3/1987,6,ATL
R.Muckelroy,74,250,Texas,10/27/1986,4,
M.Hoomanawanui,76,265,Illinois,7/4/1988,6,NO
K.Chancellor,75,232,Virginia Tech,4/3/1988,6,SEA
R.Sapp,76,252,Clemson,11/14/1986,5,
D.Franks,72,197,Oklahoma,10/8/1987,4,
K.Lewis,72,205,Mississippi,6/16/1988,6,BAL
P.Cox,72,190,Oklahoma State,1/10/1987,5,TEN
C.Byndom,72,180,Texas,7/7/1992,1,
C.Brown,71,185,Ohio State,12/16/1991,2,CAR
,80,334,Montana,11/27/1991,1,
T.Coons,73,200,Washington,2/6/1992,1,CLE
,73,211,Iowa,12/15/1991,0,
,71,225,Michigan State,8/9/1990,0,
G.Ducre,70,184,Washington,1/22/1992,2,SD
,70,210,Portland State,9/27/1990,1,
,73,236,Texas,6/27/1992,0,PHI
,74,205,Georgia,10/25/1992,0,KC
,72,210,William & Mary,12/1/1992,0,TEN
,72,245,Hawaii,6/19/1991,0,
,72,190,Florida,9/12/1990,0,OAK
,75,238,Monmouth (N.J.),1/14/1992,0,JAC
,74,260,Missouri,3/13/1991,0,ARI
A.Brewer,77,230,San Diego State,7/5/1990,4,DEN
D.Akers,70,200,Louisville,12/9/1974,16,
I.Taylor,74,195,Louisiana-Lafayette,5/5/1980,12,
D.Ware,72,225,Georgia,2/18/1985,6,
I.Igbinosun,75,286,Southern Connecticut State,9/10/1990,1,
M.Lockley,73,237,Florida Atlantic,4/20/1988,1,
W.Williams,76,305,Louisville,9/19/1984,2,
S.Ryan,77,260,Boston College,3/27/1980,7,
D.Ball,77,255,UCLA,1/4/1981,8,
G.Wilson,72,206,Tennessee,11/12/1981,8,
R.Torbor,74,258,Auburn,1/25/1981,8,
J.Cotchery,73,205,North Carolina State,6/16/1982,12,CAR
,75,321,Central Florida,5/31/1992,1,
,76,255,Virginia Tech,2/15/1991,0,WAS
,76,304,Oklahoma,9/26/1990,2,DET
,70,178,Oklahoma State,10/22/1992,2,
,73,188,Texas A&M,6/29/1991,0,
,74,201,Oklahoma,2/26/1991,0,
H.Smith,72,194,Louisville,11/9/1989,0,
,71,203,Texas Tech,7/24/1990,1,
D.Menzie,71,200,Alabama,1/1/1990,2,
A.Szczerba,78,256,Penn State,7/16/1988,2,
S.Gilmore,73,190,South Carolina,9/19/1990,4,BUF
T.Novikoff,78,320,Idaho,5/25/1988,1,
S.Kelemete,75,300,Washington,5/10/1990,3,NO
D.Northcutt,71,172,Arizona,12/22/1977,11,
S.Ridley,71,220,LSU,1/27/1989,5,NYJ
J.Moffitt,76,319,Wisconsin,10/28/1986,4,
L.Jean,75,202,Florida Atlantic,2/5/1988,4,
J.Casey,73,305,USC,12/5/1989,5,TEN
J.Clowney,77,266,South Carolina,2/14/1993,2,HOU
A.Pettis,75,203,Boise State,2/8/1988,5,
S.Skelton,77,250,Fordham,8/6/1989,1,
,73,230,Ohio State,9/6/1992,2,PIT
B.Nnabuife,73,191,California,12/29/1988,1,
R.Lumpkin,75,300,Kentucky,9/7/1988,1,
S.Jeffcoat,74,200,Elon,7/10/1989,1,
D.Lemmens,75,250,Florida,9/27/1988,1,
C.Alecxih,76,295,Pittsburgh,2/10/1989,1,
E.Page,70,180,Toledo,9/23/1991,2,
T.Urban,77,249,West Virginia,9/30/1989,0,
T.Thomas,72,204,Arkansas,3/17/1990,1,
B.Sowell,79,315,Mississippi,6/6/1989,4,ARI
T.Shoemaker,73,213,Boise State,9/14/1988,1,
T.Turner,75,320,LSU,6/14/1993,2,CAR
M.Brunell,73,215,Washington,9/17/1970,19,
B.Celek,76,255,Cincinnati,1/25/1985,9,PHI
W.Herring,75,241,Auburn,8/28/1983,8,
D.Clowney,72,188,Virginia Tech,7/7/1985,6,
J.Medlock,71,200,UCLA,10/23/1983,2,
C.Ryan,75,324,Michigan State,2/18/1984,4,
J.Harrison,72,242,Kent State,5/4/1978,13,PIT
C.Stephenson,75,326,Rutgers,6/18/1983,2,
D.Rosario,75,242,Oregon,10/25/1984,9,
C.Vernon,72,200,Duke,8/18/1990,1,
J.Green,73,245,Nevada,5/8/1990,0,
M.Anthony,72,200,California,11/14/1989,1,
R.Reiff,78,308,Iowa,12/1/1988,4,DET
M.Wright,76,295,Cincinnati,3/1/1982,7,
,76,315,Notre Dame,1/24/1990,3,BAL
B.Weeden,76,228,Oklahoma State,10/14/1983,4,HOU
M.Claiborne,71,192,LSU,2/7/1990,4,DAL
T.Richardson,69,230,Alabama,7/10/1990,4,
M.Purcell,75,303,Wyoming,4/20/1991,2,SF
G.Goebel,76,292,Ohio State,3/11/1989,0,
B.Brooks,77,335,Miami (Ohio),8/19/1989,4,HOU
L.McCown,76,217,Louisiana Tech,7/12/1981,12,NO
,77,306,Penn State,11/26/1990,2,SEA
L.Alexander,73,245,California,5/31/1983,9,OAK
D.Carr,71,190,Arizona State,8/10/1990,2,
T.Smith,77,320,USC,12/12/1990,5,DAL
J.Locker,75,223,Washington,6/15/1988,4,
A.Smith,76,265,Missouri,9/25/1989,5,OAK
J.Jones,75,220,Alabama,2/3/1989,5,ATL
P.Peterson,73,219,LSU,7/11/1990,5,ARI
A.Green,76,207,Georgia,7/31/1988,5,CIN
M.Dareus,75,331,Alabama,11/18/1989,5,BUF
V.Miller,75,250,Texas A&M,3/26/1989,5,DEN
,71,185,Delaware,7/16/1990,3,SEA
J.Watt,77,289,Wisconsin,3/22/1989,5,HOU
B.Gabbert,76,235,Missouri,10/15/1989,5,SF
,77,275,Purdue,1/17/1992,0,DAL
,72,189,Georgia,12/4/1992,0,NO
,75,265,Oklahoma,6/4/1992,0,NE
,68,185,Duke,6/17/1993,0,WAS
,77,310,Alabama,4/23/1992,0,WAS
,74,237,Georgia,8/19/1992,0,KC
,70,200,Ohio State,11/30/1992,0,PIT
,72,236,Arkansas,8/5/1993,0,WAS
,75,240,Tennessee-Chattanooga,11/12/1991,0,NO
,74,309,Fresno State,9/23/1992,0,NO
V.Holliday,77,288,North Carolina,12/11/1975,15,
P.Hunt,73,258,Houston,1/10/1986,3,
W.Parker,70,212,North Carolina,11/11/1980,7,
J.Caulcrick,72,269,Michigan State,8/6/1983,4,
K.Cummings,75,247,Wingate,7/23/1986,4,
R.Pitoitua,80,298,Washington State,4/6/1985,6,TEN
P.Raymond,70,185,Brown,5/5/1986,1,
B.Mattison,75,310,Iowa,5/15/1984,4,
D.Woodhead,68,200,Chadron State,1/25/1985,8,SD
T.Shelton,72,202,Baylor,9/21/1984,2,
A.Smith,69,192,Ohio State,6/12/1984,3,
,73,182,Louisville,10/17/1990,2,JAC
R.Miller,74,320,Texas,7/9/1987,7,JAC
K.Barnes,73,190,Maryland,9/15/1986,4,
B.Tate,73,195,North Carolina,10/5/1987,7,CIN
D.Williams,71,197,Penn State,7/6/1986,4,
A.Caldwell,75,315,Alabama,4/19/1986,5,
D.Levy,74,235,Wisconsin,3/26/1987,7,DET
K.Urbik,77,324,Wisconsin,9/23/1985,7,BUF
L.Vasquez,77,335,Texas Tech,4/11/1987,7,DEN
P.Turner,77,220,USC,5/19/1987,4,
A.Allen,69,194,Georgia,1/22/1988,3,
,76,310,Michigan State,11/15/1991,2,
,75,308,North Carolina,6/30/1992,2,CIN
W.Aikens,73,208,Liberty,6/19/1991,2,MIA
D.Blackstock,75,245,Virginia,5/30/1983,7,
L.Hicks,72,200,Iowa State,4/15/1983,3,
C.Fiedorowicz,77,265,Iowa,10/22/1991,2,HOU
C.Borland,71,248,Wisconsin,12/26/1990,2,
T.Murphy,77,258,Stanford,12/22/1990,2,WAS
J.Hill,73,235,LSU,10/20/1992,2,CIN
T.Daniels,73,195,LSU,9/8/1982,8,
,72,236,Boston College,10/7/1991,2,SEA
T.Smith,75,223,Florida State,4/11/1991,2,JAC
,77,277,Texas A&M,2/25/1993,0,
,74,205,Oklahoma,10/25/1991,0,BAL
,74,211,East Carolina,4/6/1992,0,BAL
,78,326,Brigham Young,7/28/1992,0,BAL
P.Hill,70,218,Wisconsin,1/3/1987,2,
J.Parnell,78,315,Mississippi,7/20/1986,6,JAC
R.Jones,72,195,Portland State,3/15/1986,3,
D.Gorrer,72,180,Texas A&M,6/1/1986,5,
D.Nixon,75,225,Brigham Young,3/16/1985,4,
B.Lockett,73,220,UCLA,10/7/1986,4,
J.Casillas,73,227,Wisconsin,6/3/1987,7,NYG
S.Paxson,76,290,Penn State,2/3/1983,7,
M.Turk,77,251,Wis.-Whitewater,6/16/1968,17,
A.Walker,78,260,Florida,3/14/1980,7,
Y.Bell,72,205,Eastern Kentucky,3/3/1978,10,
C.June,72,227,Michigan,11/18/1979,7,
A.Battle,73,208,Notre Dame,2/22/1980,9,
S.Smith,74,325,South Carolina,8/19/1981,9,
T.Romo,74,230,Eastern Illinois,4/21/1980,13,DAL
S.Stroughter,70,189,Oregon State,1/3/1986,4,
J.Sanford,70,200,Mississippi,8/27/1985,7,NO
M.Fokou,73,243,Maryland,8/28/1985,7,
A.Shipley,73,307,Penn State,5/22/1986,4,ARI
D.Johnson,74,260,Arkansas State,8/26/1987,7,SD
L.Stephens-Howling,67,185,Pittsburgh,4/26/1987,5,
S.Woodson,70,198,South Carolina,10/11/1985,1,
J.Muasau,73,243,Georgia State,4/15/1990,1,
K.Stafford,76,204,Toledo,6/20/1990,1,
L.Meisner,72,245,Southern Colorado,3/16/1990,1,
A.White,76,239,Georgia,10/8/1988,1,
M.Willie,74,220,Arizona State,6/17/1990,1,
B.Collins,71,180,Southeastern Louisiana,4/21/1989,1,
P.Payne,75,210,Nevada-Las Vegas,2/6/1990,1,
D.Presley,70,190,Appalachian State,1/10/1990,1,
J.Linam,75,237,Central Florida,10/21/1988,1,
V.Leach,72,260,East Carolina,11/6/1981,10,
A.Tiller,72,187,East Tennessee State,12/20/1981,1,
C.Hughes,73,244,Northwood FL,12/14/1983,1,
K.Onatolu,74,235,Nebraska-Omaha,10/8/1982,4,
D.Dorsey,67,175,Nevada-Las Vegas,5/7/1983,1,
S.Simmons,73,230,Western Washington,8/9/1985,2,
M.Goodman,76,276,Clemson,1/4/1990,3,ATL
S.Maponga,74,265,Texas Christian,3/5/1991,3,NYG
S.Beauharnais,74,230,Rutgers,5/2/1990,2,
K.Ishmael,72,206,Central Florida,5/6/1991,3,ATL
D.Amerson,73,205,North Carolina State,12/8/1991,3,OAK
J.Collins,75,250,Southern Mississippi,10/20/1989,3,NE
D.Sims,76,268,Michigan State,2/18/1991,3,MIA
P.Thomas,72,223,Fresno State,3/1/1989,3,
Z.Motta,74,215,Notre Dame,5/14/1990,2,
T.Opurum,73,250,Kansas,11/18/1990,1,NO
N.Diggs,76,240,Ohio State,7/8/1978,12,
J.Troutman,76,330,Penn State,11/11/1987,3,SD
K.Toomer,74,234,Idaho,12/9/1988,2,OAK
C.Thompson,72,211,South Carolina State,6/14/1990,2,
B.Mosley,77,318,Auburn,12/21/1988,4,NYG
R.Brooks,70,190,LSU,10/16/1988,4,BUF
A.Robinson,76,264,Cincinnati,9/23/1988,4,
Z.Sanders,78,320,Florida State,12/4/1989,1,
T.Carder,74,235,Texas Christian,1/18/1989,4,CLE
M.Daniels,72,310,Iowa,5/5/1989,4,GB
J.Norman,72,195,Coastal Carolina,12/15/1987,4,CAR
S.Gore,72,200,Bishop's University,4/12/1987,1,
A.Levine,71,200,Tennessee State,3/27/1987,4,BAL
E.Reid,74,320,Mary,9/14/1986,1,
A.Thompson,71,195,Nevada,10/3/1987,1,
M.Hamilton,75,222,Iowa State,6/18/1987,1,
J.Ross,75,319,East Carolina,10/3/1987,1,
R.Hamilton,74,210,Vanderbilt,2/16/1987,1,
C.Ivory,72,222,Tiffin University,3/22/1988,6,NYJ
M.Norris,73,250,Kansas,6/16/1978,12,
J.Ihedigbo,73,214,Massachusetts,12/3/1983,8,DET
Ke.Smith,76,303,Alabama,9/8/1977,7,
H.Evans,72,250,Auburn,12/30/1978,10,
D.Burgess,74,255,Mississippi,8/12/1978,10,
A.Wilson,75,230,North Carolina State,10/12/1979,14,
S.Slaton,69,208,West Virginia,1/4/1986,5,
B.Davis,75,250,UCLA,9/2/1985,4,
E.Doucet,72,212,LSU,10/28/1985,5,
B.Smith,74,250,McNeese State,11/29/1983,3,
J.Zuttah,76,300,Rutgers,6/1/1986,8,BAL
D.Morgan,72,203,North Carolina State,10/21/1985,4,
C.Stevens,75,263,California,9/1/1984,8,TEN
H.Douglas,72,183,Louisville,9/16/1984,8,TEN
A.Fluellen,74,302,Florida State,3/7/1985,7,
T.Zbikowski,71,200,Notre Dame,5/22/1985,6,
D.Bishop,73,239,California,7/17/1986,1,
P.Duncan,79,315,Notre Dame,6/18/1987,1,
B.Garland,77,308,Air Force,4/6/1988,2,ATL
R.Geer,76,250,Colorado,12/19/1986,1,
K.McCarthy,73,205,Notre Dame,9/30/1986,3,
N.Overbay,77,260,Eastern Washington,1/4/1987,1,
J.Stehle,78,310,Wisconsin,4/4/1987,2,
T.Hart,78,281,Oregon,2/22/1991,2,PHI
P.Shembo,72,254,Notre Dame,12/24/1991,2,
C.Marsh,76,254,UCLA,7/7/1992,2,SEA
,76,310,Florida State,11/15/1990,2,NE
,79,295,Virginia,5/5/1991,2,BAL
N.Lawson,69,191,Utah State,4/23/1991,2,DET
P.Brown,73,251,Louisville,10/27/1992,2,BUF
,74,302,Florida State,9/24/1992,2,BAL
J.Watkins,71,194,Florida,11/27/1991,2,PHI
K.Thornton,75,315,Southern Mississippi,11/21/1989,2,DET
,74,303,Louisville,8/12/1993,0,BUF
,74,220,Colorado State,5/29/1991,0,NO
,77,313,Florida State,8/23/1992,0,CLE
,73,215,Wisconsin,4/13/1993,0,SD
,77,315,Colorado State,3/10/1992,0,DEN
,76,269,Kentucky,2/12/1993,0,PIT
,76,260,Texas,9/16/1993,0,DAL
,74,339,Washington,8/20/1993,0,CLE
N.Cole,72,339,New Mexico State,7/28/1984,5,
J.Baker,74,205,Iowa,5/17/1978,11,
K.Reddick,73,240,North Carolina,12/28/1989,2,BUF
R.Shipman,77,242,Central Florida,11/19/1989,0,
E.Mealer,77,308,Michigan,6/30/1989,0,
K.Milton,76,324,Louisiana-Monroe,6/23/1990,3,
,71,177,Michigan State,6/9/1989,1,
Z.Boren,72,255,Ohio State,5/13/1991,1,
R.Sweeting,72,187,Georgia Tech,9/28/1990,2,
C.Thomas,75,255,Stanford,6/10/1989,1,
A.Bouye,72,191,Central Florida,8/16/1991,3,HOU
C.Snee,75,310,Boston College,1/18/1982,11,
D.Smith,74,250,Georgia Tech,3/14/1982,12,BAL
S.Wells,74,302,Tennessee,1/7/1981,11,
R.Gallery,79,325,Iowa,7/26/1980,8,
T.Harris,75,295,Oklahoma,4/29/1983,8,
T.George,76,275,Kansas State,12/3/1982,2,
A.Ayodele,74,245,Purdue,9/17/1979,9,
D.Bowens,75,265,Western Illinois,7/3/1977,12,
J.Valdez,78,324,Arkansas,12/13/1986,2,
P.Chiara,70,204,Syracuse,6/27/1985,1,
S.Walker,72,178,Vanderbilt,8/15/1986,0,
A.Kelly,77,203,Clemson,4/2/1986,1,
N.Rackers,73,207,Illinois,8/16/1976,13,
J.Wilson,74,215,Alabama,10/17/1985,4,
B.Williams,74,194,North Alabama,11/26/1985,1,
R.Shiver,75,237,Auburn,8/4/1985,1,
M.Rubin,75,223,Penn State,10/24/1985,1,
D.Diehl,77,304,Illinois,9/15/1980,12,
W.Yeatman,78,315,Maryland,4/10/1988,5,
A.Silvestro,75,260,Rutgers,11/15/1988,1,
J.Tarpinian,75,240,Iowa,10/16/1987,4,
S.Siliga,74,325,Utah,4/26/1990,4,NE
D.Alford,75,320,Minnesota,2/22/1988,1,
C.Koepplin,75,215,Massachusetts,10/11/1985,1,
C.Bryant,76,300,Northwestern,1/4/1988,3,BUF
C.Bryant,80,320,Memphis,9/11/1987,2,
D.Akinniyi,76,256,North Carolina State,6/23/1988,1,
,75,200,Bowling Green State,5/17/1989,1,
B.Felder,71,200,Nicholls State,9/23/1990,2,
T.Nielsen,75,238,Iowa,6/1/1988,1,
C.Paredes,70,230,Hawaii,8/23/1989,1,
E.Owusu,76,275,California,5/26/1988,1,
A.Pasztor,79,308,Virginia,11/26/1990,3,CLE
Q.Saulsberry,75,300,Mississippi State,10/14/1988,1,
T.Smith,72,246,Arizona State,3/12/1978,10,
D.Lee,76,248,Mississippi State,8/31/1980,10,
J.Rogers,76,250,Southern Methodist,8/31/1983,3,
H.Blades,70,242,Pittsburgh,9/30/1984,5,
N.Folk,73,222,Arizona,11/5/1984,9,NYJ
J.Bender,78,315,Nicholls State,4/25/1985,5,
O.O'Neal,71,245,Arkansas State,9/8/1983,3,
T.Smith,72,217,Ohio State,7/20/1984,4,
M.Coe,72,187,Alabama State,12/17/1983,6,
A.Hayward,73,240,Portland State,6/23/1984,9,WAS
R.Maui'a,72,265,Hawaii,7/6/1984,6,
M.Buggs,70,223,Vanderbilt,9/21/1985,2,
T.Poole,70,210,Tennessee,10/19/1989,2,
L.Miller,70,225,Miami (Fla.),4/25/1991,4,MIA
C.Givens,72,203,Wake Forest,12/6/1989,4,BAL
J.Massaquoi,74,264,Troy,5/11/1988,4,
R.Watkins,75,338,South Carolina,2/24/1989,3,
A.Brown,72,237,Hawaii,9/24/1988,1,
M.Harris,70,188,Florida State,1/5/1989,4,
D.Martin,69,223,Boise State,1/13/1989,4,TB
D.Richardson,70,196,Abilene Christian,4/12/1990,3,
J.Lane,71,258,Texas A&M,2/4/1987,3,TB
C.Gatewood,70,190,Stanford,7/13/1988,1,
D.Brown,76,200,McNeese State,2/18/1984,2,
,72,196,Coastal Carolina,3/31/1993,0,PHI
J.Stewart,75,254,Texas A&M,11/23/1990,1,
M.Brooks,75,276,East Carolina,8/28/1991,2,
J.Fauria,79,267,UCLA,1/16/1990,3,
A.Holtz,77,301,Ball State,11/1/1989,0,
S.Miller,67,172,Appalachian State,3/23/1991,1,
,75,310,West Virginia,9/1/1989,1,
D.Amendola,71,190,Texas Tech,11/2/1985,7,NE
T.Smith,72,192,Syracuse,9/30/1983,3,
M.Cox,72,252,Georgia Tech,7/11/1985,5,
J.Crosslin,71,245,Oklahoma State,11/1/1983,1,
